Time,Fear_Intensity,Happy_Intensity,High_Fear,High_Happy
3,1.42222222233333,0.277777777666667,0,0
4,1.488888889,0.277777777666667,0,0
5,1.55555555566667,0.277777777666667,0,0
6,1.588888889,0.3666666666,0,0
7,1.62222222233333,0.455555555533333,0,0
8,1.65555555566667,0.544444444466667,0,0
9,1.688888889,0.6333333334,0,0
10,1.72222222233333,0.722222222333333,0,0
11,1.7333333334,0.900000000133333,0,0
12,1.74444444446667,1.07777777793333,0,0
13,1.75555555553333,1.25555555573333,0,0
14,1.7666666666,1.43333333353333,0,0
15,1.77777777766667,1.61111111133333,0,0
16,1.77777777766667,1.93333333353333,0,0
17,1.77777777766667,2.25555555573333,0,0
18,1.77777777766667,2.57777777793333,0,0
19,1.77777777766667,2.90000000013333,0,0
20,1.77777777766667,3.22222222233333,0,0
21,1.96666666653333,3.52222222233333,0,0
22,2.1555555554,3.82222222233333,0,0
23,2.34444444426667,4.12222222233333,0,0
24,2.53333333313333,4.42222222233333,0,0
25,2.722222222,4.72222222233333,0,0
26,3.03333333313333,4.94444444453333,0,0
27,3.34444444426667,5.16666666673333,0,0
28,3.6555555554,5.38888888893333,0,0
29,3.96666666653333,5.61111111113333,0,0
30,4.27777777766667,5.83333333333333,0,0
31,4.47777777766667,5.94444444446667,0,1
32,4.67777777766667,6.0555555556,0,1
33,4.87777777766667,6.16666666673333,0,1
34,5.07777777766667,6.27777777786667,0,1
35,5.27777777766667,6.388888889,0,1
36,5.35555555546667,6.4111111112,0,1
37,5.43333333326667,6.4333333334,0,1
38,5.51111111106667,6.4555555556,0,1
39,5.58888888886667,6.4777777778,0,1
40,5.66666666666667,6.5,0,1
41,5.63333333333333,6.51111111113333,0,1
42,5.6,6.52222222226667,0,1
43,5.56666666666667,6.5333333334,0,1
44,5.53333333333333,6.54444444453333,0,1
45,5.5,6.55555555566667,0,1
46,5.48888888886667,6.55555555566667,0,1
47,5.47777777773333,6.55555555566667,0,1
48,5.4666666666,6.55555555566667,0,1
49,5.45555555546667,6.55555555566667,0,1
50,5.44444444433333,6.55555555566667,0,1
51,5.46666666653333,6.4111111112,0,1
52,5.48888888873333,6.26666666673333,0,1
53,5.51111111093333,6.12222222226667,0,1
54,5.53333333313333,5.9777777778,0,1
55,5.55555555533333,5.83333333333333,0,0
56,5.57777777753333,5.66666666666667,0,0
57,5.59999999973333,5.5,0,0
58,5.62222222193333,5.33333333333333,0,0
59,5.64444444413333,5.16666666666667,0,0
60,5.66666666633333,5,0,0
61,5.65555555526667,4.6222222222,0,0
62,5.6444444442,4.2444444444,0,0
63,5.63333333313333,3.8666666666,0,0
64,5.62222222206667,3.4888888888,0,0
65,5.611111111,3.111111111,0,0
66,5.43333333326667,3.04444444433333,0,0
67,5.25555555553333,2.97777777766667,0,0
68,5.0777777778,2.911111111,0,0
69,4.90000000006667,2.84444444433333,0,0
70,4.72222222233333,2.77777777766667,0,0
71,4.6666666668,2.89999999986667,0,0
72,4.61111111126667,3.02222222206667,0,0
73,4.55555555573333,3.14444444426667,0,0
74,4.5000000002,3.26666666646667,0,0
75,4.44444444466667,3.38888888866667,0,0
76,4.53333333353333,3.6999999998,0,0
77,4.6222222224,4.01111111093333,0,0
78,4.71111111126667,4.32222222206667,0,0
79,4.80000000013333,4.6333333332,0,0
80,4.888888889,4.94444444433333,0,0
81,5.0111111112,5.03333333326667,0,0
82,5.1333333334,5.1222222222,0,0
83,5.2555555556,5.21111111113333,0,0
84,5.3777777778,5.30000000006667,0,0
85,5.5,5.388888889,0,0
86,5.4222222222,5.3444444446,0,0
87,5.3444444444,5.3000000002,0,0
88,5.2666666666,5.2555555558,0,0
89,5.1888888888,5.2111111114,0,0
90,5.111111111,5.166666667,0,0
91,4.89999999986667,5.03333333366667,0,0
92,4.68888888873333,4.90000000033333,0,0
93,4.4777777776,4.766666667,0,0
94,4.26666666646667,4.63333333366667,0,0
95,4.05555555533333,4.50000000033333,0,0
96,4.11111111086667,4.55555555586667,0,0
97,4.1666666664,4.6111111114,0,0
98,4.22222222193333,4.66666666693333,0,0
99,4.27777777746667,4.72222222246667,0,0
100,4.333333333,4.777777778,0,0
101,4.4888888886,4.84444444466667,0,0
102,4.6444444442,4.91111111133333,0,0
103,4.7999999998,4.977777778,0,0
104,4.9555555554,5.04444444466667,0,0
105,5.111111111,5.11111111133333,0,0
106,5.34444444433333,5.21111111133333,0,0
107,5.57777777766667,5.31111111133333,0,0
108,5.811111111,5.41111111133333,0,0
109,6.04444444433333,5.51111111133333,0,0
110,6.27777777766667,5.61111111133333,0,0
111,6.3888888888,5.477777778,0,0
112,6.49999999993333,5.34444444466667,0,0
113,6.61111111106667,5.21111111133333,0,0
114,6.7222222222,5.077777778,0,0
115,6.83333333333333,4.94444444466667,0,0
116,6.85555555553333,4.81111111133333,1,0
117,6.87777777773333,4.677777778,1,0
118,6.89999999993333,4.54444444466667,1,0
119,6.92222222213333,4.41111111133333,1,0
120,6.94444444433333,4.277777778,1,0
121,7.011111111,4.4000000002,1,0
122,7.07777777766667,4.5222222224,1,0
123,7.14444444433333,4.6444444446,1,0
124,7.211111111,4.7666666668,1,0
125,7.27777777766667,4.888888889,1,0
126,7.37777777766667,5.07777777786667,1,0
127,7.47777777766667,5.26666666673333,1,0
128,7.57777777766667,5.4555555556,1,0
129,7.67777777766667,5.64444444446667,1,0
130,7.77777777766667,5.83333333333333,1,0
131,7.92222222213333,5.9222222222,1,1
132,8.0666666666,6.01111111106667,1,1
133,8.21111111106667,6.09999999993333,1,1
134,8.35555555553333,6.1888888888,1,1
135,8.5,6.27777777766667,1,1
136,8.5,6.14444444433333,1,1
137,8.5,6.011111111,1,1
138,8.5,5.87777777766667,1,1
139,8.5,5.74444444433333,1,0
140,8.5,5.611111111,1,0
141,8.44444444446667,5.611111111,1,0
142,8.38888888893333,5.611111111,1,0
143,8.3333333334,5.611111111,1,0
144,8.27777777786667,5.611111111,1,0
145,8.22222222233333,5.611111111,1,0
146,8.16666666673333,5.711111111,1,0
147,8.11111111113333,5.811111111,1,0
148,8.05555555553333,5.911111111,1,1
149,7.99999999993333,6.011111111,1,1
150,7.94444444433333,6.111111111,1,1
151,7.84444444433333,6.24444444433333,1,1
152,7.74444444433333,6.37777777766667,1,1
153,7.64444444433333,6.511111111,1,1
154,7.54444444433333,6.64444444433333,1,1
155,7.44444444433333,6.77777777766667,1,1
156,7.38888888873333,6.84444444433333,1,1
157,7.33333333313333,6.911111111,1,1
158,7.27777777753333,6.97777777766667,1,1
159,7.22222222193333,7.04444444433333,1,1
160,7.16666666633333,7.111111111,1,1
161,7.1888888886,7.12222222213333,1,1
162,7.21111111086667,7.13333333326667,1,1
163,7.23333333313333,7.1444444444,1,1
